x y z
-3.000000 -3.000000 0.000067
-3.000000 -2.571429 0.000263
-3.000000 -2.142857 0.000647
-3.000000 -1.714286 0.000542
-3.000000 -1.285714 -0.002778
-3.000000 -0.857143 -0.013025
-3.000000 -0.428571 -0.027936
-3.000000 0.000000 -0.036506
-3.000000 0.428571 -0.031410
-3.000000 0.857143 -0.018093
-3.000000 1.285714 -0.006545
-3.000000 1.714286 -0.001077
-3.000000 2.142857 0.000173
-3.000000 2.571429 0.000134
-3.000000 3.000000 0.000032
-2.571429 -3.000000 0.000508
-2.571429 -2.571429 0.001986
-2.571429 -2.142857 0.005244
-2.571429 -1.714286 0.007120
-2.571429 -1.285714 -0.009474
-2.571429 -0.857143 -0.072411
-2.571429 -0.428571 -0.170941
-2.571429 0.000000 -0.230872
-2.571429 0.428571 -0.201033
-2.571429 0.857143 -0.115195
-2.571429 1.285714 -0.038509
-2.571429 1.714286 -0.002658
-2.571429 2.142857 0.003624
-2.571429 2.571429 0.001695
-2.571429 3.000000 0.000372
-2.142857 -3.000000 0.002332
-2.142857 -2.571429 0.008703
-2.142857 -2.142857 0.024359
-2.142857 -1.714286 0.045617
-2.142857 -1.285714 0.008700
-2.142857 -0.857143 -0.229023
-2.142857 -0.428571 -0.653423
-2.142857 0.000000 -0.933554
-2.142857 0.428571 -0.828614
-2.142857 0.857143 -0.468738
-2.142857 1.285714 -0.130106
-2.142857 1.714286 0.024346
-2.142857 2.142857 0.035838
-2.142857 2.571429 0.013909
-2.142857 3.000000 0.002910
-1.714286 -3.000000 0.005222
-1.714286 -2.571429 0.015438
-1.714286 -2.142857 0.047308
-1.714286 -1.714286 0.145439
-1.714286 -1.285714 0.207992
-1.714286 -0.857143 -0.259202
-1.714286 -0.428571 -1.397069
-1.714286 0.000000 -2.254863
-1.714286 0.428571 -2.076311
-1.714286 0.857143 -1.133340
-1.714286 1.285714 -0.151774
-1.714286 1.714286 0.273398
-1.714286 2.142857 0.215208
-1.714286 2.571429 0.076363
-1.714286 3.000000 0.015542
-1.285714 -3.000000 -0.002933
-1.285714 -2.571429 -0.040499
-1.285714 -2.142857 -0.103198
-1.285714 -1.714286 0.095663
-1.285714 -1.285714 0.734050
-1.285714 -0.857143 0.652332
-1.285714 -0.428571 -1.090553
-1.285714 0.000000 -2.780190
-1.285714 0.428571 -2.819502
-1.285714 0.857143 -1.342791
-1.285714 1.285714 0.560411
-1.285714 1.714286 1.296704
-1.285714 2.142857 0.837472
-1.285714 2.571429 0.284054
-1.285714 3.000000 0.056938
-0.857143 -3.000000 -0.053253
-0.857143 -2.571429 -0.308012
-0.857143 -2.142857 -0.877544
-0.857143 -1.714286 -0.912827
-0.857143 -1.285714 0.863955
-0.857143 -0.857143 2.587171
-0.857143 -0.428571 1.421425
-0.857143 0.000000 -0.699128
-0.857143 0.428571 -1.398722
-0.857143 0.857143 0.011078
-0.857143 1.285714 2.769807
-0.857143 1.714286 3.628285
-0.857143 2.142857 2.170924
-0.857143 2.571429 0.721286
-0.857143 3.000000 0.143530
-0.428571 -3.000000 -0.156269
-0.428571 -2.571429 -0.826319
-0.428571 -2.142857 -2.432289
-0.428571 -1.714286 -3.472249
-0.428571 -1.285714 -0.937225
-0.428571 -0.857143 3.057987
-0.428571 -0.428571 3.423955
-0.428571 0.000000 1.692156
-0.428571 0.428571 0.610444
-0.428571 0.857143 1.921319
-0.428571 1.285714 5.590608
-0.428571 1.714286 6.515164
-0.428571 2.142857 3.808971
-0.428571 2.571429 1.257080
-0.428571 3.000000 0.249545
0.000000 -3.000000 -0.244954
0.000000 -2.571429 -1.257068
0.000000 -2.142857 -3.767491
0.000000 -1.714286 -6.041870
0.000000 -1.285714 -3.985423
0.000000 -0.857143 0.661398
0.000000 -0.428571 1.941893
